CID,ID,N,T1,H2O,DEPTH,T2,EXP,CONC,ERR,NOTES,REF,ROCK
TRM,19051,1,13.1,NO,40,13.1,13274,5267,3.8,SOPRA POZZO,494,DOLOMIA
TRM,18520,2,13.7,NO,-5,13.9,11279,4476,1.5,SALA OMINO,494,DOLOMIA
TRM,19056,3,14.5,YES,30,14.7,2924,1160,4.1,POZZA,494,DOLOMIA
IFT,18605,4,7.9,NO,-158,7.9,6681,2651,3.4,FOSSILE NODO,1080,MOLTRASIO
IFT,18608,5,7.9,YES,-167,7.9,6415,2545,2.7,ARRIVO NODO,1080,MOLTRASIO
IFT,19249,6,7.5,YES,-272,8.1,3399,1348,4.4,ARRIVO ARMAGHEDDON,1080,MOLTRASIO
IFT,19250,7,7.5,NO,-274,8.2,5759,2285,4.3,FOSSILE ARMAGHEDDON (VERBANA),1080,MOLTRASIO
IFT,19256,8,7.4,YES,-251,7.9,4537,1800,5.3,AFRIKA,1080,MOLTRASIO
IFT,19251,9,7.2,NO,-170,7.9,4707,1867,1.8,MATOMBO,1080,MOLTRASIO
IFT,19254,10,7.4,NO,-260,7.8,4559,1809,7.8,LIPTON SABBIA,1072,MOLTRASIO
IFT,19252,11,7.4,YES,-275,7.9,4536,1800,5.4,SPUGNA,1072,MOLTRASIO
IFT,19253,12,7.8,NO,-227,8.2,4625,1835,4.9,BIVIO TAURUS-LIPTON,1072,MOLTRASIO
IFT,19255,13,7.5,NO,-31,8.3,5123,2032,5.1,USCITA A58-PTO PIU ALTO,1072,MOLTRASIO
LNO,19055,14,10.8,NO,-45,10.7,7310,2901,3.2,POZZO TOPPO NEGRO,857,MAIOLICA
LNO,18518,15,10.5,NO,-45,10.4,6326,2510,3.0,SALONE,857,MAIOLICA
LNO,19057,16,10.1,YES,-71,10.1,5502,2183,3.7,BASE POZZO ATTIVO,857,MAIOLICA
LNO,19052,17,10.8,NO,-75,10.5,7528,2987,3.5,FAGLIA,857,MAIOLICA
LNO,19053,18,10.8,YES,-97,10.4,6314,2506,3.8,BIVIO ATTIVO/SE GH'E` GIUAN,857,MAIOLICA
LNO,19058,19,10.8,NO,-24,10.9,5291,2100,5.6,PARTENZA PRIMO POZZO,857,MAIOLICA
LNO,19054,20,10.9,NO,-10,10.9,4768,1892,4.6,SALETTA CONCREZIONATA INGRESSO,857,MAIOLICA
